"data_id","language","form","age","gender","mom_ed","comprehension","production"
89209,"English (British)","TEDS Twos",24,"Female","College",60,60
89210,"English (British)","TEDS Twos",24,"Male","College",53,53
89211,"English (British)","TEDS Twos",24,"Male","Some Secondary",28,28
89212,"English (British)","TEDS Twos",24,"Female","Some Secondary",32,32
89213,"English (British)","TEDS Twos",24,"Female","Some Secondary",50,50
89214,"English (British)","TEDS Twos",24,"Male","Some Secondary",50,50
89215,"English (British)","TEDS Twos",24,"Male","Primary",82,82
89216,"English (British)","TEDS Twos",24,"Male","Primary",83,83
89217,"English (British)","TEDS Twos",23,"Female","Primary",3,3
89218,"English (British)","TEDS Twos",23,"Female","Primary",6,6
89219,"English (British)","TEDS Twos",25,"Male","None",12,12
89220,"English (British)","TEDS Twos",25,"Female","None",45,45
89221,"English (British)","TEDS Twos",24,"Male","Primary",46,46
89222,"English (British)","TEDS Twos",27,"Male","Primary",23,23
89223,"English (British)","TEDS Twos",24,"Male","Secondary",38,38
89224,"English (British)","TEDS Twos",24,"Male","Secondary",41,41
89225,"English (British)","TEDS Twos",23,"Female","College",29,29
89226,"English (British)","TEDS Twos",24,"Female","College",33,33
89227,"English (British)","TEDS Twos",24,"Female","Some Secondary",28,28
89228,"English (British)","TEDS Twos",24,"Female","Some Secondary",31,31
89229,"English (British)","TEDS Twos",33,"Female","Some Secondary",100,100
89230,"English (British)","TEDS Twos",33,"Female","Some Secondary",100,100
89231,"English (British)","TEDS Twos",24,"Female","College",41,41
89232,"English (British)","TEDS Twos",24,"Male","College",36,36
89233,"English (British)","TEDS Twos",23,"Male","Secondary",21,21
89234,"English (British)","TEDS Twos",23,"Male","Secondary",23,23
89235,"English (British)","TEDS Twos",24,"Female","Primary",39,39
89236,"English (British)","TEDS Twos",24,"Female","Primary",32,32
89237,"English (British)","TEDS Twos",23,"Male","Some Secondary",41,41
89238,"English (British)","TEDS Twos",23,"Male","Some Secondary",42,42
89239,"English (British)","TEDS Twos",23,"Female","None",26,26
89240,"English (British)","TEDS Twos",23,"Female","None",25,25
89241,"English (British)","TEDS Twos",24,"Male","Some Secondary",65,65
89242,"English (British)","TEDS Twos",24,"Female","Some Secondary",69,69
89243,"English (British)","TEDS Twos",23,"Female","Secondary",10,10
89244,"English (British)","TEDS Twos",23,"Male","Secondary",22,22
89245,"English (British)","TEDS Twos",25,"Male","Some Secondary",26,26
89246,"English (British)","TEDS Twos",25,"Male","Some Secondary",18,18
89247,"English (British)","TEDS Twos",24,"Male","Some Secondary",30,30
89248,"English (British)","TEDS Twos",24,"Male","Some Secondary",23,23
89249,"English (British)","TEDS Twos",24,"Male","Some Secondary",50,50
89250,"English (British)","TEDS Twos",24,"Female","Some Secondary",61,61
89251,"English (British)","TEDS Twos",24,"Female","College",80,80
89252,"English (British)","TEDS Twos",24,"Male","College",80,80
89253,"English (British)","TEDS Twos",24,"Male","Some College",13,13
89254,"English (British)","TEDS Twos",24,"Male","Some College",8,8
89255,"English (British)","TEDS Twos",24,"Male","Secondary",41,41
89256,"English (British)","TEDS Twos",24,"Male","Secondary",23,23
89257,"English (British)","TEDS Twos",24,"Male","College",94,94
89258,"English (British)","TEDS Twos",24,"Male","College",94,94
89259,"English (British)","TEDS Twos",22,"Male","Secondary",97,97
89260,"English (British)","TEDS Twos",22,"Male","Secondary",97,97
89261,"English (British)","TEDS Twos",24,"Male","Graduate",42,42
89262,"English (British)","TEDS Twos",24,"Male","Graduate",39,39
89263,"English (British)","TEDS Twos",24,"Male","Some Secondary",27,27
